#,MLS #,Status,Area,Address,Zip,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Acres,Sqft Total,LP$SqFt,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM
1,6782470,S,1A,3806 Crowncrest CV,78759,3,2,0,2,1,2,1970,0.3,"1,696",$223.47 ,"$379,000 ",$238.80 ,"$405,000 ",10/27/2017,4,4
2,9109509,S,1A,3503 Starline DR,78759,3,2,0,2,1,0,1964,0.23,"2,024",$209.98 ,"$424,999 ",$207.51 ,"$420,000 ",8/14/2017,60,60
3,6307452,S,1A,8003 Hillrise DR,78759,4,2,0,3,1,2,1970,0.29,"1,978",$199.70 ,"$395,000 ",$216.63 ,"$428,500 ",6/23/2017,2,2
4,4978407,S,1A,8703 Tallwood DR,78759,4,2,1,2,1,2,1966,0.27,"2,080",$237.98 ,"$495,000 ",$210.34 ,"$437,500 ",10/3/2017,64,64
5,7623346,S,1A,5601 Driftwood DR,78731,3,2,0,1,1,2,1972,0.47,"1,527",$294.70 ,"$450,000 ",$290.11 ,"$443,000 ",10/26/2017,52,52
6,7374947,S,1A,8838 Mountain Path CIR,78759,3,2,0,2,1,2,1972,0.31,"1,830",$256.78 ,"$469,900 ",$245.90 ,"$450,000 ",6/30/2017,23,23
7,4673956,S,1A,6603 Knollwood CV,78731,3,2,1,3,2,2,1973,0.35,"3,288",$152.07 ,"$500,000 ",$138.38 ,"$455,000 ",5/23/2017,9,9
8,7131879,S,1A,6511 Lakewood DR,78731,3,2,0,2,1,3,1979,0.38,"2,203",$226.96 ,"$500,000 ",$208.81 ,"$460,000 ",8/24/2017,4,236
9,3643149,S,1A,5901 Camino Seco,78731,3,2,1,1,2,2,1982,0.3,"1,662",$287.00 ,"$477,000 ",$280.99 ,"$467,000 ",7/13/2017,10,10
10,8342710,S,1A,8000 Moravian CV,78759,4,2,0,2,1,2,1982,0.32,"2,188",$205.62 ,"$449,900 ",$214.81 ,"$470,000 ",8/7/2017,4,4
11,4686276,S,1A,8706 Willowick DR,78759,3,2,0,2,1,2,1967,0.27,"1,718",$288.65 ,"$495,900 ",$274.59 ,"$471,750 ",9/13/2017,1,1
12,1882279,S,1A,3912 Dominion CV,78759,3,2,1,1,2,2,1996,0.11,"2,152",$232.30 ,"$499,900 ",$220.72 ,"$475,000 ",10/30/2017,64,64
13,4929195,S,1A,3506 Denwood DR,78759,3,2,0,1,1,2,1968,0.27,"1,908",$262.05 ,"$499,990 ",$248.95 ,"$475,000 ",9/7/2017,41,41
14,5589934,S,1A,8800 North PATH,78759,3,2,0,1,1,2,1975,0.26,"1,741",$275.70 ,"$479,989 ",$272.83 ,"$475,000 ",8/1/2017,7,7
15,3723109,S,1A,3610 Serena Woods CT,78759,4,2,0,1,1,2,1980,0.2,"1,960",$237.24 ,"$465,000 ",$242.35 ,"$475,000 ",5/25/2017,,
16,9009903,S,1A,4010 Knollwood DR,78731,4,4,1,2,1,2,1967,0.33,"3,934",$176.66 ,"$695,000 ",$122.01 ,"$480,000 ",6/21/2017,,
17,4001115,S,1A,8006 Hillrise DR,78759,4,2,0,2,1,2,1971,0.28,"1,609",$310.13 ,"$499,000 ",$298.32 ,"$480,000 ",7/10/2017,19,19
18,4459326,S,1A,8002 Cardin DR,78759,4,2,1,2,2,2,1983,0.32,"2,006",$239.23 ,"$479,900 ",$239.28 ,"$480,000 ",6/2/2017,7,7
19,2286530,S,1A,8515 Adirondack TRL,78759,3,2,1,2,M,2,1976,0.24,"2,321",$226.20 ,"$525,000 ",$207.67 ,"$482,000 ",5/30/2017,4,4
20,7687504,S,1A,8702 Silverhill LN,78759,4,2,0,2,1,2,1968,0.27,"2,072",$240.83 ,"$499,000 ",$237.69 ,"$492,500 ",9/8/2017,,
21,1517878,S,1A,8001 Spandera CV,78759,4,2,0,1,1,2,1979,0.24,"2,016",$238.10 ,"$480,000 ",$248.02 ,"$500,000 ",11/3/2017,6,6
22,8127885,S,1A,3916 Myrick DR,78731,2,2,0,1,1,2,1996,0.13,"1,638",$322.95 ,"$529,000 ",$305.25 ,"$500,000 ",7/13/2017,43,43
23,8529375,S,1A,8604 Oakmountain CIR,78759,3,3,0,2,1,2,1967,0.4,"2,416",$240.02 ,"$579,900 ",$211.09 ,"$510,000 ",8/9/2017,6,6
24,6269088,S,1A,8424 Adirondack TRL,78759,4,3,0,1,1,2,1974,0.26,"2,375",$210.53 ,"$500,000 ",$218.95 ,"$520,000 ",8/30/2017,6,6
25,1441011,S,1A,7202 Waterline RD,78731,4,2,0,1,1,2,1965,0.22,"1,834",$267.12 ,"$489,900 ",$286.26 ,"$525,000 ",11/17/2017,2,2
26,4444167,S,1A,4606 Beechwood HOLW,78731,3,2,1,2,2,2,1999,0.14,"2,322",$228.25 ,"$529,999 ",$228.25 ,"$529,999 ",8/21/2017,4,4
27,4889870,S,1A,8148 Ceberry DR,78759,3,2,0,2,1,2,1983,0.18,"1,953",$275.99 ,"$539,000 ",$271.38 ,"$530,000 ",9/8/2017,30,30
28,3268490,S,1A,8839 Mountain Path CIR,78759,5,3,0,1,2,2,1973,0.23,"2,132",$246.25 ,"$525,000 ",$251.88 ,"$537,000 ",8/4/2017,4,4
29,5267087,S,1A,4033 Dominion CV,78759,4,2,1,2,2,2,1996,0.12,"2,500",$215.60 ,"$539,000 ",$215.60 ,"$539,000 ",8/1/2017,44,44
30,8398255,S,1A,8834 Mountain Path CIR,78759,4,3,0,2,1,2,1972,0.26,"2,184",$251.79 ,"$549,900 ",$249.31 ,"$544,500 ",9/1/2017,3,3
31,7578886,S,1A,3909 Cresthill DR,78731,3,2,0,,1,2,1964,0.27,"1,795",$278.55 ,"$500,000 ",$304.18 ,"$546,000 ",7/28/2017,4,4
32,7139233,S,1A,5807 Trailridge CIR,78731,3,2,0,3,1,2,1956,0.27,"2,445",$244.58 ,"$598,000 ",$223.72 ,"$547,000 ",8/30/2017,42,42
33,9749078,S,1A,8700 Mountainwood CIR,78759,5,2,1,1,2,2,1965,0.29,"2,749",$209.17 ,"$575,000 ",$199.16 ,"$547,500 ",7/14/2017,57,57
34,3394344,S,1A,4300 Burney DR,78731,4,2,1,3,2,2,1969,0.23,"2,410",$246.89 ,"$595,000 ",$230.29 ,"$555,000 ",7/7/2017,9,9
35,9540610,S,1A,6904 Cat Creek RUN,78731,3,3,1,1,2,2,1985,0.12,"2,491",$232.04 ,"$578,000 ",$224.21 ,"$558,500 ",11/22/2017,68,68
36,4412798,S,1A,3920 Sierra DR,78731,3,2,0,2,1,2,1963,0.31,"2,182",$228.69 ,"$499,000 ",$256.65 ,"$560,000 ",8/10/2017,3,3
37,8869318,S,1A,7607 Rockpoint DR,78731,4,2,0,2,1,2,1973,0.28,"2,324",$236.66 ,"$550,000 ",$242.04 ,"$562,500 ",6/23/2017,3,3
38,6851491,S,1A,8006 Spandera CV,78759,4,2,0,1,2,2,1982,0.3,"2,456",$231.07 ,"$567,500 ",$229.44 ,"$563,500 ",6/19/2017,4,4
39,1129132,S,1A,7404 W Rim DR,78731,4,2,0,2,1,2,1969,0.23,"1,927",$298.39 ,"$575,000 ",$293.20 ,"$565,000 ",11/1/2017,7,7
